"Symbol","Company","Industry","Series","Face Value(Rs.)","Purpose","Ex-Date","Record Date","BC Start Date","BC End Date","No Delivery Start Date","No Delivery End Date"
"PEL","Piramal Enterprises Limited","-","EQ","2"," Rights 11:83 @ Premium Rs 1298/-","30-Dec-2019","31-Dec-2019","-","-","-","-"
"HCLTECH","HCL Technologies Limited","-","EQ","2"," Interim Dividend","24-Jan-2020","27-Jan-2020","-","-","-","-"
